|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J0427.3+0504 |04 27 19.1|+05 04 48|    3.6801e-10|          5.5482e-11|               10.6389|PowerLaw        |3FGL J0426.6+0459  |                            |           000|
|4FGL J0427.4+6433c|04 27 29.4|+64 33 32|    2.0436e-10|          4.7554e-11|                4.3283|PowerLaw        |                   |                            |           040|
|4FGL J0427.9+3632c|04 27 55.5|+36 32 02|    5.0257e-10|          1.0602e-10|                8.3465|LogParabola     |                   |                            |           032|
|4FGL J0433.0+1327 |04 33 03.5|+13 27 31|    3.3029e-10|          6.4204e-11|                6.4224|LogParabola     |                   |                            |          2048|
|4FGL J0435.5+3232 |04 35 30.1|+32 32 57|    4.3325e-10|          6.7911e-11|                8.6798|LogParabola     |                   |                            |           000|
|4FGL J0436.9+2915 |04 36 59.1|+29 15 23|    7.9390e-10|          8.4332e-11|               12.2412|LogParabola     |                   |                            |           004|
|4FGL J0438.0-7329 |04 38 05.8|-73 29 06|    2.8246e-10|          3.6736e-11|               12.4810|PowerLaw        |3FGL J0437.7-7330  |                            |           000|
|4FGL J0438.2-4243 |04 38 12.6|-42 43 16|    1.6255e-10|          3.0885e-11|                6.6838|PowerLaw        |                   |                            |           000|
|4FGL J0439.6-8322 |04 39 41.4|-83 22 06|    1.3229e-10|          3.2546e-11|                4.0163|PowerLaw        |                   |                            |          4096|
|4FGL J0442.0-5432 |04 42 01.9|-54 32 35|    1.4347e-10|          2.5648e-11|                8.2575|PowerLaw        |                   |                            |           000|
|4FGL J0442.8+3609 |04 42 50.5|+36 09 50|    3.8114e-10|          7.3094e-11|                7.2152|LogParabola     |                   |                            |           000|
|4FGL J0444.8-3514 |04 44 49.5|-35 14 05|    9.4067e-11|          2.3988e-11|                4.2865|PowerLaw        |                   |                            |           002|
|4FGL J0445.7+1535 |04 45 44.7|+15 35 55|    2.4978e-10|          7.2692e-11|                5.5875|LogParabola     |                   |                            |           001|
|4FGL J0447.2+2446 |04 47 12.3|+24 46 12|    6.5074e-10|          9.3198e-11|                7.4382|LogParabola     |                   |                            |           001|
|4FGL J0448.3+2743 |04 48 20.7|+27 43 36|    2.6949e-10|          5.7679e-11|                4.9645|PowerLaw        |                   |                            |           000|
|4FGL J0448.7-2116 |04 48 46.8|-21 16 53|    2.0780e-10|          3.6210e-11|                7.7604|PowerLaw        |3FGL J0447.8-2119  |                            |           000|
|4FGL J0453.3+2843 |04 53 20.2|+28 43 49|    4.6120e-10|          7.5097e-11|                7.2074|LogParabola     |                   |                            |           000|
